School name,State,City,Degree of urbanization,Number of applicants,Has Early Decision (ED) Plan?,Has Early Action (EA) Plan?,Acceptance rate,ED admit rate,EA admit rate,RD admit rate,Average GPA,GPA Weighted,Percent of students with GPA (4.0+),Percent of students with GPA (3.75-3.99),Percent of students with GPA (3.00-3.24),Percent of students with GPA (3.25-3.49),Percent of students with GPA (2.00-2.49),Percent of students with GPA (Below 1.00),Percent of students with GPA (2.50-2.99),Percent of students with GPA (3.50-3.74),ACT Composite 25th,ACT Composite 50th,ACT Composite 75th,ACT English 75th,ACT Reading 75th,ACT Reading 50th,ACT English 50th,ACT English 25th,ACT Reading 25th,ACT Math 25th,ACT Science 25th,ACT Science 50th,ACT Math 50th,ACT Math 75th,ACT Science 75th,Percentage of enrolled freshmen submitting ACT scores,SAT Reading 25th,SAT Reading 50th,SAT Reading 75th,SAT Math 75th,SAT Composite 50th,SAT Composite 75th,SAT Math 50th,SAT Math 25th,SAT Composite 25th,Percentage of enrolled freshmen submitting SAT scores,Percent Women,Percent Men,Percent Non-binary,Percent Hispanic/Latino,Percent Black or African American,Percent White or Caucasian,Percent American Indian or Alaska Native,Percent Asian,Percent Native Hawaiian or Pacific Islander,Percent Other,Published in-state tuition and fees,Published out-of-state tuition and fees,Total price for in-state students living on campus,Number of men enrolled,Number of women enrolled,Number of students enrolled,Estimated undergraduate enrollment full time,4 year graduation rate,Retention rate,6 year graduation rate,Average Aid Package: Freshmen without need receiving merit-based scholarships and grants (dollar amt),Average Aid Package: Freshmen without need receiving merit-based scholarships and grants (percentage),Average amount of institutional grant aid received by full-time first-time undergraduates,Average net price-students receiving grant or scholarship aid,Average amount of other federal grant aid received by full-time first-time undergraduates,Average amount of Pell grant aid received by full-time first-time undergraduates,Average amount of state/local grant aid received by full-time first-time undergraduates,Average amount of student loan aid received by full-time first-time undergraduates,Average amount of federal student loan aid received by full-time first-time undergraduates,Average amount of other student loan aid received by full-time first-time undergraduates,Average amount of federal  state  local or institutional grant aid received,Percent of full-time first-time undergraduates receiving any financial aid,Percent of full-time first-time undergraduates receiving federal state local or institutional grant aid,Percent of full-time first-time undergraduates receiving other federal grant aid,Percent of full-time first-time undergraduates receiving state/local grant aid,Percent of full-time first-time undergraduates receiving Pell grants,Percent of full-time first-time undergraduates receiving any loans to students or grant aid  from federal state/local government or the institution,Percent of full-time first-time undergraduates receiving institutional grant aid,Percent of full-time first-time undergraduates receiving federal student loans,Percent of full-time first-time undergraduates receiving student loan aid,Percent of full-time first-time undergraduates receiving other loan aid,Percent of full-time first-time undergraduates  receiving federal grant aid,Average net price (income over 110 000),"Average net price (income 75,001-110,000)","Average net price (income 48,001-75,000)","Average net price (income 30,001-48,000)","Average net price (income 0-30,000)",Student
Academy of Art University,---,San Francisco,---,"1,629",No,No,100%,---,---,100%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,62%,38%,---,24%,15%,32%,1%,8%,1%,20%,"$31,384","$31,384","$74,206",44,72,---,"3,644",13%,75%,40%,"$3,891",16%,"$8,470","$36,591","$1,345","$4,193","$6,058","$6,426","$5,509","$33,028","$10,427",78%,64%,20%,9%,38%,75%,46%,55%,55%,2%,38%,"$41,099","$44,633","$40,285","$37,492","$37,962",
Adams State University,CO,Alamosa,Town: Remote,"1,697",No,No,31%,---,---,31%,3.2,No,11.30%,12.90%,10.30%,14.50%,13.90%,---,23.50%,9.70%,18,---,22,21,---,---,---,17,---,15,---,---,---,25,---,2%,440,---,540,530,---,---,---,415,---,13%,47%,53%,---,34%,9%,38%,2%,1%,1%,15%,"$12,751","$22,399","$23,501",163,144,---,"1,749",28%,56%,32%,---,---,"$4,805","$13,800","$1,695","$4,923","$5,408","$6,454","$5,163","$14,387","$9,393",96%,91%,6%,42%,49%,96%,76%,51%,52%,5%,49%,"$21,092","$19,496","$13,658","$10,511","$10,130",
Adelphi University,NY,Garden City,Suburb: Large,"19,705",No,Yes,66%,---,69%,63%,3.7,No,31%,15%,10%,21%,1%,---,7%,16%,24,28,30,33,---,---,29,23,---,22,---,---,26,27,---,2%,550,610,660,660,1210,1310,600,550,1140,19%,70%,30%,---,24%,11%,43%,---,14%,---,7%,"$52,050","$52,050","$78,890",406,930,"1,377","5,325",57%,82%,67%,"$27,770",77%,"$25,658","$28,671","$1,414","$5,354","$3,134","$7,955","$5,322","$20,293","$28,776",95%,94%,14%,41%,34%,95%,92%,66%,67%,9%,34%,"$32,093","$29,583","$28,183","$24,621","$22,149",
Adrian College,MI,Adrian,Town: Distant,"3,050",No,No,68%,---,---,68%,3.2,No,8%,10%,16%,12%,12%,---,19%,20%,18,23,26,23,---,---,20,17,---,16,---,---,23,25,---,6%,455,500,570,550,1000,1120,500,425,880,24%,39%,61%,---,7%,7%,66%,---,1%,---,19%,"$42,782","$42,782","$57,306",294,190,484,"1,678",40%,60%,52%,"$15,800",100%,"$28,675","$22,053",$944,"$5,425","$4,197","$7,600","$5,024","$14,218","$32,923",99%,99%,36%,39%,40%,99%,99%,79%,79%,14%,40%,"$26,926","$24,062","$19,528","$15,581","$15,688",
AdventHealth University,FL,Orlando,City: Large,"1,453",Yes,No,23%,88%,---,6%,3.25,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,85%,15%,---,37%,17%,34%,---,4%,---,6%,"$21,780","$21,780","$46,623",14,80,---,"1,407",38%,64%,52%,"$6,666",42%,"$5,432","$30,340",$400,"$3,439","$3,821","$9,385","$8,654","$5,846","$7,707",93%,80%,22%,5%,44%,85%,76%,59%,59%,7%,44%,"$35,708",---,"$31,029","$30,931","$29,906",
Agnes Scott College,GA,Decatur,Suburb: Large,"2,090",Yes,Yes,62%,53%,---,62%,3.71,No,21.10%,30.60%,4.80%,16.70%,---,---,1.40%,25.40%,25,29,31,---,---,---,---,---,---,---,---,---,---,---,---,18%,620,660,700,640,1270,1350,610,540,1180,27%,100%,---,---,14%,33%,41%,---,4%,---,8%,"$52,552","$52,552","$68,622",---,209,241,843,63%,81%,71%,"$37,277",100%,"$29,797","$25,609","$2,008","$5,420","$5,324","$8,254","$5,280","$11,664","$35,158",100%,100%,10%,57%,39%,100%,100%,54%,54%,14%,39%,"$28,583","$25,806","$22,407","$22,896","$20,042",
Alaska Pacific University,AK,Anchorage,City: Large,827,No,No,86%,---,---,86%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,76%,24%,---,9%,3%,35%,22%,7%,1%,22%,"$20,860","$20,860","$40,861",6,19,27,437,3%,50%,47%,---,---,"$8,797","$23,667","$2,000","$4,202","$4,663","$5,893","$5,893",---,"$12,875",96%,96%,4%,30%,52%,96%,96%,30%,30%,---,52%,---,"$23,460","$18,313","$15,564","$18,371",
Albany College of Pharmacy and Health Sciences,NY,Albany,City: Small,"2,826",No,No,53%,---,---,53%,3.52,No,---,74%,4%,5%,---,---,---,17%,28,31,33,---,---,---,---,---,---,---,---,---,---,---,---,6%,560,630,680,700,1270,1380,640,560,1120,35%,62%,38%,---,1%,17%,48%,2%,24%,---,7%,"$42,325","$42,325","$55,425",38,61,134,533,44%,86%,60%,"$23,394",300%,"$22,029","$26,804","$2,019","$5,477","$1,968","$14,171","$8,827","$21,513","$25,414",100%,100%,33%,61%,33%,100%,100%,92%,93%,23%,33%,"$30,708","$23,715","$22,173","$23,891","$15,549",
Albion College,MI,Albion,Town: Fringe,"6,421",No,Yes,81%,---,59%,84%,3.43,No,11.20%,24.20%,13.40%,14.80%,3.20%,---,17.70%,14.80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,49%,51%,---,13%,16%,57%,---,1%,---,12%,"$58,500","$58,500","$73,130",173,167,363,"1,308",48%,71%,62%,"$43,999",97%,"$46,051","$18,470",$962,"$5,597","$2,999","$6,919","$5,396","$13,437","$50,344",100%,100%,28%,45%,47%,100%,100%,70%,70%,8%,47%,"$25,793","$20,176","$14,936","$10,541","$11,241",
Albright College,PA,Reading,City: Small,"5,366",No,No,86%,---,---,86%,3.05,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,19%,---,---,---,---,---,---,---,---,---,---,52%,44%,4%,21%,22%,46%,---,3%,---,8%,"$32,146","$32,146","$47,322",160,188,348,"1,328",41%,63%,48%,"$26,296",96%,"$17,446","$22,116","$1,125","$5,405","$4,906","$7,489","$5,425","$14,543","$22,201",100%,100%,3%,37%,53%,100%,100%,78%,79%,12%,54%,"$28,680","$24,273","$22,071","$17,524","$16,982",
